day_type,time_per_hour,code_x,Distance_x,TOTAL_VOLUME,station_id,Direction,StopSequence
WEEKENDS/HOLIDAY,0,75009,0.6,2425,S84,1,1
WEEKENDS/HOLIDAY,0,76059,0.5,76,S84,1,2
WEEKENDS/HOLIDAY,0,76069,1.2,149,S84,1,3
WEEKENDS/HOLIDAY,0,96289,0.4,18,S84,1,4
WEEKENDS/HOLIDAY,0,96109,0.6,13,S84,1,5
WEEKENDS/HOLIDAY,0,85079,0.2,9,S84,1,6
WEEKENDS/HOLIDAY,0,85089,0.3,2,S84,1,7
WEEKENDS/HOLIDAY,0,85069,0.3,55,S84,1,8
WEEKENDS/HOLIDAY,0,85059,0.4,16,S207,1,9
WEEKENDS/HOLIDAY,0,85049,0.3,4,S207,1,10
WEEKENDS/HOLIDAY,0,85039,0.2,8,S207,1,11
WEEKENDS/HOLIDAY,0,85029,0.2,7,S207,1,12
WEEKENDS/HOLIDAY,0,85019,0.3,25,S207,1,13
WEEKENDS/HOLIDAY,0,94079,0.6,4,S207,1,14
WEEKENDS/HOLIDAY,0,94069,0.3,2,S207,1,15
WEEKENDS/HOLIDAY,0,94059,0.4,3,S212,1,16
WEEKENDS/HOLIDAY,0,94049,0.2,3,S212,1,17
WEEKENDS/HOLIDAY,0,94089,0.3,1,S212,1,18
WEEKENDS/HOLIDAY,0,94039,0.4,3,S212,1,19
WEEKENDS/HOLIDAY,0,94029,0.2,4,S212,1,20
WEEKENDS/HOLIDAY,0,94019,0.4,1,S212,1,21
WEEKENDS/HOLIDAY,0,93099,0.5,5,S212,1,22
WEEKENDS/HOLIDAY,0,93089,0.3,8,S212,1,23
WEEKENDS/HOLIDAY,0,93079,0.3,23,S212,1,24
WEEKENDS/HOLIDAY,0,93069,0.4,5,S113,1,25
WEEKENDS/HOLIDAY,0,93059,0.3,5,S113,1,26
WEEKENDS/HOLIDAY,0,92159,0.3,8,S113,1,27
WEEKENDS/HOLIDAY,0,92149,0.3,10,S113,1,28
WEEKENDS/HOLIDAY,0,92139,0.5,12,S113,1,29
WEEKENDS/HOLIDAY,0,92129,0.5,27,S113,1,30
WEEKENDS/HOLIDAY,0,92119,0.2,48,S113,1,31
WEEKENDS/HOLIDAY,0,92109,0.3,9,S113,1,32
